DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT	DEFAULT
            TIME	TIME	ANG_X	ANG_Y	ANG_Z	VEL_X	VEL_Y	VEL_Z	ACC_X	ACC_Y	ACC_Z
            FRAME_NUMBERS	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
            ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
        ITEM	0	0	x	x	x	x	x	x	x	x	x
1 1.57 157 0.330 -0.126 -0.709 -0.014 -0.016 -0.122 -0.988 -2.194 -8.426
1 1.58 158 0.333 -0.127 -0.741 0.005 -0.002 -0.057 1.948 1.355 6.547
1 1.59 159 0.338 -0.128 -0.766 0.008 -0.002 -0.043 0.249 -0.029 1.376
1 1.60 160 0.352 -0.139 -0.769 0.024 -0.019 -0.006 1.657 -1.681 3.694
1 1.61 161 0.359 -0.141 -0.756 0.012 -0.002 0.023 -1.192 1.701 2.881
1 1.62 162 0.366 -0.136 -0.742 0.012 0.008 0.026 -0.017 1.061 0.306
1 1.63 163 0.369 -0.138 -0.725 0.005 -0.004 0.030 -0.716 -1.219 0.435
1 1.64 164 0.359 -0.136 -0.687 -0.017 0.003 0.066 -2.164 0.711 3.577
1 1.65 165 0.357 -0.137 -0.695 -0.003 -0.001 -0.013 1.324 -0.447 -7.931
1 1.66 166 0.355 -0.138 -0.715 -0.004 -0.003 -0.035 -0.091 -0.194 -2.159
1 1.67 167 0.352 -0.143 -0.719 -0.006 -0.007 -0.007 -0.155 -0.442 2.819
1 1.68 168 0.343 -0.147 -0.733 -0.015 -0.008 -0.024 -0.888 -0.076 -1.752
1 1.69 169 0.341 -0.153 -0.761 -0.003 -0.011 -0.050 1.161 -0.247 -2.570
1 1.70 170 0.336 -0.154 -0.756 -0.009 -0.001 0.009 -0.640 1.016 5.956
1 1.71 171 0.332 -0.145 -0.742 -0.008 0.015 0.024 0.183 1.554 1.466
1 1.72 172 0.324 -0.162 -0.732 -0.013 -0.031 0.017 -0.515 -4.558 -0.730
1 1.73 173 0.329 -0.168 -0.698 0.008 -0.010 0.060 2.060 2.076 4.350
1 1.74 174 0.332 -0.173 -0.666 0.005 -0.009 0.055 -0.256 0.118 -0.510
1 1.75 175 0.349 -0.179 -0.625 0.030 -0.010 0.072 2.505 -0.144 1.694
1 1.76 176 0.358 -0.182 -0.581 0.016 -0.006 0.076 -1.407 0.377 0.378
1 1.77 177 0.363 -0.175 -0.540 0.008 0.012 0.072 -0.834 1.851 -0.385
1 1.78 178 0.369 -0.172 -0.513 0.011 0.006 0.047 0.298 -0.658 -2.508
1 1.79 179 0.361 -0.183 -0.531 -0.015 -0.018 -0.031 -2.569 -2.377 -7.807
1 1.80 180 0.362 -0.187 -0.524 0.002 -0.009 0.012 1.676 0.952 4.263
1 1.81 181 0.359 -0.192 -0.525 -0.004 -0.007 -0.002 -0.594 0.149 -1.316
1 1.82 182 0.363 -0.192 -0.520 0.007 -0.002 0.010 1.119 0.554 1.153
1 1.83 183 0.370 -0.203 -0.513 0.011 -0.018 0.012 0.351 -1.690 0.206
